id,site_ref,schedule_week,schedule_date,job,job_suffix,item,qty,remain_qty,ship_date,eta_date,line,head,cycle_time_h,work_hours_h,start_time,end_time,is_delayed,delay_days,risk_level,line_source,job_type,skip_reason,job_status,tested_qty,wo_total,print_status,unit_price,sales_amount,manual_lock,other_remark,created_at,updated_at
81273,410,2026W27,2026-07-01,J000002628-0000,0000,03-388135-08-TEX,10,10,2026-06-17,2026-06-30,Line 01,4,0.039200,0.10,2026-07-01 12:57:00,2026-07-01 13:03:00,1,13.7,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,33.97,339.70,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81600,410,2026W27,2026-07-01,J000002641-0000,0000,03-436786-03-TEX,5,3,2026-06-17,2026-06-30,Line 05,4,0.252800,0.19,2026-07-02 10:06:00,2026-07-02 10:17:00,1,155.8,风险,系统自动分配,普通工单,,进行中,2,5,打印成功,111.24,556.20,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81530,410,2026W27,2026-07-01,J000002982-0000,0000,03-396634-00-TEX,10,10,2026-06-17,2026-06-30,Line 04,4,0.118400,0.30,2026-07-01 10:11:00,2026-07-01 10:29:00,1,13.6,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,37.39,373.90,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81276,410,2026W27,2026-07-01,J000003059-0000,0000,853-236640-001-TEX,5,5,2026-06-17,2026-06-30,Line 01,4,0.230400,0.29,2026-07-01 13:14:00,2026-07-01 13:31:00,1,13.7,风险,系统自动分配,普通工单,,待排产,0,5,打印成功,68.13,340.65,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81445,410,2026W27,2026-07-01,PA00000733-0000,0000,03-387193-02-TEX,5,5,2026-06-17,2026-06-30,Line 03,4,0.039200,0.05,2026-07-01 09:00:00,2026-07-01 09:03:00,1,13.5,风险,系统自动分配,普通工单,,待排产,0,5,未记录,16.73,83.65,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81274,410,2026W27,2026-07-01,PA00000739-0000,0000,03-453060-03-TEX,6,6,2026-06-17,2026-06-30,Line 01,4,0.047200,0.07,2026-07-01 13:03:00,2026-07-01 13:07:00,1,13.7,风险,系统自动分配,普通工单,,待排产,0,6,未记录,28.04,168.24,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81529,410,2026W27,2026-07-01,PA00000740-0000,0000,03-453060-04-TEX,6,6,2026-06-17,2026-06-30,Line 04,4,0.047200,0.07,2026-07-01 10:07:00,2026-07-01 10:11:00,1,13.5,风险,系统自动分配,普通工单,,待排产,0,6,未记录,28.04,168.24,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81531,410,2026W27,2026-07-01,PA00000913-0000,0000,853-300374-101-PLS,2,2,2026-06-17,,Line 04,4,0.406400,0.20,2026-07-01 10:29:00,2026-07-01 10:41:00,1,13.6,风险,系统自动分配,普通工单,,待排产,0,2,打印成功,78.23,156.46,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81277,410,2026W27,2026-07-01,PA00000918-0000,0000,853-301892-001-PLS,2,2,2026-06-17,2026-06-30,Line 01,4,0.664000,0.33,2026-07-01 13:31:00,2026-07-01 13:51:00,1,13.7,风险,系统自动分配,普通工单,,待排产,0,2,打印成功,45.00,90.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81734,410,2026W27,2026-07-01,PA00000921-0000,0000,853-310343-501-PLS,2,2,2026-06-17,2026-06-30,Line 07,3,0.835200,0.56,2026-07-06 09:11:00,2026-07-06 09:45:00,1,18.5,风险,系统自动分配,普通工单,,待排产,0,2,打印成功,146.70,293.40,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81532,410,2026W27,2026-07-01,J000000786-0000,0000,0140-18238,20,20,2026-06-18,2026-06-30,Line 04,4,1.601200,8.01,2026-07-01 10:41:00,2026-07-01 18:42:00,1,12.9,风险,系统自动分配,普通工单,,待排产,0,20,未记录,152.37,3047.40,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81279,410,2026W27,2026-07-01,J000002831-0000,0000,03-387274-05-TEX,10,10,2026-06-18,2026-06-30,Line 01,4,0.377600,0.94,2026-07-01 14:09:00,2026-07-01 15:05:00,1,12.8,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,88.55,885.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81447,410,2026W27,2026-07-01,J000002845-0000,0000,0150-18944,60,60,2026-06-18,2026-06-30,Line 03,4,0.448400,6.73,2026-07-10 10:17:00,2026-07-10 17:01:00,1,21.8,风险,系统自动分配,普通工单,,待排产,0,60,打印成功,47.96,2877.60,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81281,410,2026W27,2026-07-01,J000001222-0000,0000,LB853-802360-002,75,75,2026-06-19,2026-06-30,Line 01,4,0.173861,3.26,2026-07-01 15:25:00,2026-07-01 18:41:00,1,11.9,风险,系统自动分配,普通工单,,待排产,0,75,打印成功,30.73,2304.75,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81451,410,2026W27,2026-07-01,J000001462-0000,0000,0140-85318,2,2,2026-06-19,,Line 03,4,0.318128,0.16,2026-07-10 17:24:00,2026-07-10 17:34:00,1,20.9,风险,系统自动分配,普通工单,,待排产,0,2,打印成功,51.02,102.04,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81536,410,2026W27,2026-07-01,J000002433-0000,0000,0150-19114-ICH,10,10,2026-06-19,,Line 04,4,0.201400,0.50,2026-07-01 19:33:00,2026-07-02 09:03:00,1,12.5,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,29.55,295.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81283,410,2026W27,2026-07-01,J000002825-0000,0000,03-387274-04-TEX,10,10,2026-06-19,2026-06-30,Line 01,4,0.377600,0.94,2026-07-01 19:04:00,2026-07-02 09:00:00,1,12.5,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,88.55,885.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81533,410,2026W27,2026-07-01,J000002870-0000,0000,0140-84640,8,8,2026-06-19,2026-06-30,Line 04,4,0.104500,0.21,2026-07-01 18:42:00,2026-07-01 18:55:00,1,11.9,风险,系统自动分配,普通工单,,待排产,0,8,打印成功,28.39,227.12,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81452,410,2026W27,2026-07-01,J000002876-0000,0000,0140-88275,10,10,2026-06-19,2026-06-30,Line 03,4,0.079400,0.20,2026-07-10 17:34:00,2026-07-10 17:46:00,1,20.9,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,21.02,210.20,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81280,410,2026W27,2026-07-01,J000002988-0000,0000,03-382157-10-TEX,10,10,2026-06-19,2026-06-30,Line 01,4,0.130400,0.33,2026-07-01 15:05:00,2026-07-01 15:25:00,1,11.8,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,35.43,354.30,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81660,410,2026W27,2026-07-01,J000003120-0000,0000,853-227067-011-ICH,5,5,2026-06-19,2026-07-06,Line 06,4,0.108800,0.14,2026-07-06 09:00:00,2026-07-06 09:08:00,1,16.5,风险,系统自动分配,普通工单,,待排产,0,5,打印成功,305.60,1528.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81284,410,2026W27,2026-07-01,J000003156-0000,0000,0140-81611-ICH,10,10,2026-06-19,2026-06-30,Line 01,4,0.626400,1.57,2026-07-02 09:00:00,2026-07-02 10:34:00,1,12.6,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,99.30,993.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81737,410,2026W27,2026-07-01,J000003210-0000,0000,0140-88137,3,3,2026-06-19,2026-06-30,Line 07,3,0.628778,0.63,2026-07-06 12:04:00,2026-07-06 12:42:00,1,16.7,风险,系统自动分配,普通工单,,待排产,0,3,打印成功,83.98,251.94,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81736,410,2026W27,2026-07-01,J000003211-0000,0000,0140-88137,8,8,2026-06-19,2026-06-30,Line 07,3,0.628778,1.68,2026-07-06 10:23:00,2026-07-06 12:04:00,1,16.6,风险,系统自动分配,普通工单,,待排产,0,8,打印成功,83.98,671.84,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81735,410,2026W27,2026-07-01,J000003213-0000,0000,0140-88137,3,3,2026-06-19,2026-06-30,Line 07,3,0.628778,0.63,2026-07-06 09:45:00,2026-07-06 10:23:00,1,16.6,风险,系统自动分配,普通工单,,待排产,0,3,打印成功,100.26,300.78,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81453,410,2026W27,2026-07-01,J000003271-0000,0000,0140-88137,8,8,2026-06-19,2026-07-13,Line 03,4,0.628778,1.26,2026-07-13 09:00:00,2026-07-13 10:16:00,1,23.6,风险,系统自动分配,普通工单,,待排产,0,8,打印成功,83.98,671.84,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81534,410,2026W27,2026-07-01,J000003283-0000,0000,0140-84640,8,8,2026-06-19,2026-06-30,Line 04,4,0.104500,0.21,2026-07-01 18:55:00,2026-07-01 19:08:00,1,11.9,风险,系统自动分配,普通工单,,待排产,0,8,打印成功,28.39,227.12,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81448,410,2026W27,2026-07-01,J000003284-0000,0000,0140-84640,5,5,2026-06-19,2026-06-30,Line 03,4,0.104500,0.13,2026-07-10 17:01:00,2026-07-10 17:09:00,1,20.8,风险,系统自动分配,普通工单,,待排产,0,5,打印成功,26.09,130.45,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81449,410,2026W27,2026-07-01,J000003285-0000,0000,0140-84640,8,8,2026-06-19,2026-06-30,Line 03,4,0.104500,0.21,2026-07-10 17:09:00,2026-07-10 17:22:00,1,20.8,风险,系统自动分配,普通工单,,待排产,0,8,打印成功,26.09,208.72,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81535,410,2026W27,2026-07-01,J000003286-0000,0000,0140-84640,16,16,2026-06-19,2026-06-30,Line 04,4,0.104500,0.42,2026-07-01 19:08:00,2026-07-01 19:33:00,1,11.9,风险,系统自动分配,普通工单,,待排产,0,16,打印成功,26.09,417.44,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81450,410,2026W27,2026-07-01,J000003287-0000,0000,0140-84640,1,1,2026-06-19,2026-06-30,Line 03,4,0.104500,0.03,2026-07-10 17:22:00,2026-07-10 17:24:00,1,20.9,风险,系统自动分配,普通工单,,待排产,0,1,打印成功,26.09,26.09,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81282,410,2026W27,2026-07-01,J000003288-0000,0000,0140-84640,15,15,2026-06-19,2026-06-30,Line 01,4,0.104500,0.39,2026-07-01 18:41:00,2026-07-01 19:04:00,1,11.9,风险,系统自动分配,普通工单,,待排产,0,15,打印成功,28.39,425.85,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81659,410,2026W27,2026-07-01,PA00000911-0000,0000,853-300360-101-PLS,2,2,2026-06-19,2026-06-30,Line 06,4,0.611200,0.31,2026-07-01 09:02:00,2026-07-01 09:21:00,1,11.5,风险,系统自动分配,普通工单,,待排产,0,2,打印成功,55.00,110.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81538,410,2026W27,2026-07-01,J000002358-0000,0000,0140-39959-ICH,5,5,2026-06-22,2026-06-30,Line 04,4,0.243500,0.30,2026-07-02 09:08:00,2026-07-02 09:26:00,1,9.5,风险,系统自动分配,普通工单,,待排产,0,5,打印成功,46.15,230.75,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81537,410,2026W27,2026-07-01,J000002435-0000,0000,0150-23041-ICH,6,6,2026-06-22,2026-06-30,Line 04,4,0.053600,0.08,2026-07-02 09:03:00,2026-07-02 09:08:00,1,9.5,风险,系统自动分配,普通工单,,待排产,0,6,打印成功,91.71,550.26,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81539,410,2026W27,2026-07-01,PA00000299-0000,0000,LB853-494141-003,7,7,2026-06-22,2026-06-30,Line 04,4,0.419200,0.73,2026-07-02 09:26:00,2026-07-02 10:10:00,1,9.5,风险,系统自动分配,普通工单,,待排产,0,7,打印成功,34.70,242.90,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81662,410,2026W27,2026-07-01,J000003046-0000,0000,0150-41628,10,10,2026-06-23,2026-06-30,Line 06,4,0.077267,0.19,2026-07-06 09:09:00,2026-07-06 09:20:00,1,12.5,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,14.18,141.80,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81381,410,2026W27,2026-07-01,J000003113-0000,0000,0140-07561,25,25,2026-06-23,2026-06-30,Line 02,4,1.611800,10.07,2026-07-01 13:47:00,2026-07-02 12:51:00,1,8.7,风险,系统自动分配,普通工单,,待排产,0,25,打印成功,115.42,2885.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81601,410,2026W27,2026-07-01,J000003301-0000,0000,0140-32873-ICH,7,7,2026-06-23,2026-06-30,Line 05,4,3.962500,6.93,2026-07-02 10:17:00,2026-07-02 17:13:00,1,8.8,风险,系统自动分配,普通工单,,待排产,0,7,打印成功,743.60,5205.20,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81663,410,2026W27,2026-07-01,J000003334-0000,0000,853-188261-002-ICH,1,1,2026-06-23,2026-06-30,Line 06,4,0.096000,0.02,2026-07-06 09:20:00,2026-07-06 09:21:00,1,12.5,风险,系统自动分配,普通工单,,待排产,0,1,打印成功,20.16,20.16,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81661,410,2026W27,2026-07-01,J000003336-0000,0000,853-188261-003-ICH,1,1,2026-06-23,2026-06-30,Line 06,4,0.096000,0.02,2026-07-06 09:08:00,2026-07-06 09:09:00,1,12.5,风险,系统自动分配,普通工单,,待排产,0,1,打印成功,20.16,20.16,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81664,410,2026W27,2026-07-01,J000003337-0000,0000,853-188261-009-ICH,1,1,2026-06-23,2026-06-30,Line 06,4,0.096000,0.02,2026-07-06 09:21:00,2026-07-06 09:22:00,1,12.5,风险,系统自动分配,普通工单,,待排产,0,1,打印成功,20.29,20.29,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81741,410,2026W27,2026-07-01,J000000055-0000,0000,LB853-494169-002,7,7,2026-06-25,2026-06-30,Line 07,3,0.452000,1.05,2026-07-06 14:33:00,2026-07-06 15:36:00,1,10.8,风险,系统自动分配,普通工单,,待排产,0,7,未记录,19.00,133.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81602,410,2026W27,2026-07-01,J000002067-0000,0000,0140-18238,20,20,2026-06-25,2026-06-30,Line 05,4,1.601200,8.01,2026-07-02 17:13:00,2026-07-03 14:14:00,1,7.7,风险,系统自动分配,普通工单,,待排产,0,20,打印成功,152.37,3047.40,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81384,410,2026W27,2026-07-01,J000002270-0000,0000,0140-30064-ICH,4,4,2026-06-25,2026-06-30,Line 02,4,0.611100,0.61,2026-07-02 13:50:00,2026-07-02 14:27:00,1,6.7,风险,系统自动分配,普通工单,,待排产,0,4,打印成功,68.38,273.52,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81285,410,2026W27,2026-07-01,J000002771-0000,0000,03-377952-02-TEX,10,10,2026-06-25,2026-07-06,Line 01,4,0.224000,0.56,2026-07-06 09:00:00,2026-07-06 09:34:00,1,10.5,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,35.62,356.20,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81603,410,2026W27,2026-07-01,J000002787-0000,0000,LA853-251034-007,50,50,2026-06-25,2026-07-03,Line 05,4,0.021400,0.27,2026-07-03 14:14:00,2026-07-03 14:30:00,1,7.7,风险,系统自动分配,普通工单,,待排产,0,50,打印成功,4.40,220.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81541,410,2026W27,2026-07-01,J000002788-0000,0000,LA853-251034-004,50,50,2026-06-25,2026-07-03,Line 04,4,0.021400,0.27,2026-07-03 09:00:00,2026-07-03 09:16:00,1,7.5,风险,系统自动分配,普通工单,,待排产,0,50,打印成功,4.40,220.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81666,410,2026W27,2026-07-01,J000002791-0000,0000,03-387274-02-TEX,10,10,2026-06-25,2026-06-30,Line 06,4,0.377600,0.94,2026-07-06 09:59:00,2026-07-06 10:55:00,1,10.6,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,88.55,885.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81740,410,2026W27,2026-07-01,J000002808-0000,0000,03-378395-00-TEX,10,10,2026-06-25,2026-06-30,Line 07,3,0.145600,0.49,2026-07-06 14:04:00,2026-07-06 14:33:00,1,10.7,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,80.85,808.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81739,410,2026W27,2026-07-01,J000002830-0000,0000,03-387274-04-TEX,10,10,2026-06-25,2026-06-30,Line 07,3,0.377600,1.26,2026-07-06 12:48:00,2026-07-06 14:04:00,1,10.7,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,88.55,885.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81667,410,2026W27,2026-07-01,J000002832-0000,0000,03-387274-02-TEX,10,10,2026-06-25,2026-06-30,Line 06,4,0.377600,0.94,2026-07-06 10:55:00,2026-07-06 11:51:00,1,10.6,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,88.55,885.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81382,410,2026W27,2026-07-01,J000002833-0000,0000,03-387274-07-TEX,10,10,2026-06-25,2026-06-30,Line 02,4,0.377600,0.94,2026-07-02 12:51:00,2026-07-02 13:47:00,1,6.7,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,88.55,885.50,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81668,410,2026W27,2026-07-01,J000002854-0000,0000,0150-11101,10,10,2026-06-25,2026-06-30,Line 06,4,0.101200,0.25,2026-07-06 11:51:00,2026-07-06 12:06:00,1,10.6,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,96.51,965.10,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81665,410,2026W27,2026-07-01,J000002903-0000,0000,03-412342-05-TEX,10,10,2026-06-25,2026-06-30,Line 06,4,0.243200,0.61,2026-07-06 09:22:00,2026-07-06 09:59:00,1,10.5,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,95.51,955.10,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81604,410,2026W27,2026-07-01,J000003043-0000,0000,LB853-247148-002,100,100,2026-06-25,2026-09-24,Line 05,4,2.780300,69.51,2026-09-24 09:00:00,2026-10-10 12:31:00,1,106.6,风险,系统自动分配,普通工单,,待排产,0,100,未记录,110.27,11027.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
